記号,銘柄,株価,PER,予想PER,EPS,ROE,利益率,配当利回り,PBR,ROA,RSI,MA50,FCFマージン,粗利率,アクルーアル,MACD_GC,MACD_DC,次回決算日,決算猶予日数,出来高,平均出来高50日,200日MA,20日高値,配当日,52週高値,52週下落率,静寂後急増,BBスクイーズ,RSIダイバージェンス
APD,"Air Products and Chemicals, Inc",307.32000732421875,32.417725,21.623371,9.48,0.12353,0.16906999,2.34,4.3727946,0.03599,67.73635767660973,289.06676879882815,-0.31284424247962583,0.3141319066568084,-0.08892704489825741,0,0,2026/07/30,23,270064,1322629.28,270.52412338256835,314.19000244140625,2026/07/01,314.87,0.0239781264514919,0,0,1
ABNB,"Airbnb, Inc.",148.3800048828125,36.637035,24.453594,4.05,0.32325,0.19902,0.0,11.561478,0.06245,64.01787096952916,138.08980041503906,0.37954415488930643,0.8295890858589985,-0.09613652737752161,0,0,2026/08/05,29,769730,3859710.6,130.33432487487792,148.92999267578125,-,150.19,0.012051369047123629,0,0,1
AKAM,"Akamai Technologies, Inc.",117.26000213623047,39.614864,16.420279,2.96,0.091680005,0.102,0.0,3.4768426,0.03393,27.328696473997866,130.8040005493164,0.16616823207209777,0.589486416320614,-0.09292396984819128,0,0,2026/08/06,30,1944435,5311974.7,101.1970000076294,141.8699951171875,-,165.45,0.29126623066648244,0,0,0
ALB,Albemarle Corporation,128.39999389648438,0.0,9.88885,-3.43,-0.0182,-0.042379998,1.21,1.9877083,0.01605,12.58314518293632,169.42600524902343,0.13464941695398147,0.13003183326841972,-0.10949504681477477,0,0,2026/07/29,22,778851,2298289.02,148.82304889678954,170.4199981689453,2026/06/12,221.0,0.41900455250459556,0,0,0
ARE,Alexandria Real Estate Equities,51.16999816894531,0.0,-58.147724,-6.27,-0.04144,-0.36141,5.78,0.5551878,0.01001,48.46800454706365,48.32577018737793,0.48012291289991255,0.686740176729736,-0.0834349441572028,0,0,2026/08/03,27,441940,2135646.8,52.97803852081299,54.869998931884766,2026/06/30,88.24,0.4201042818569207,0,1,0
ALGN,"Align Technology, Inc.",185.9600067138672,31.253784,15.029719,5.95,0.10824,0.10496,0.0,3.2095826,0.072340004,55.40276062965756,171.88940032958985,0.1216313206264046,0.6718803439138491,-0.029336061304270196,0,0,2026/07/29,22,318938,1072026.76,162.5661994934082,188.38999938964844,-,208.31,0.10729198447569879,0,0,0
ALLE,Allegion plc,139.41000366210938,19.045082,14.567291,7.32,0.34179002,0.15237,1.51,5.701607,0.11034001,60.0918868684733,133.2919599914551,0.16858849851252675,0.4519705947434416,-0.026800926546317744,0,0,2026/07/23,16,383415,1138906.3,153.88597980499267,140.5800018310547,2026/06/15,183.11,0.2386543407672472,0,0,0
LNT,Alliant Energy Corporation,77.86499786376953,24.485847,21.127792,3.18,0.113120005,0.18583,2.72,2.709573,0.02617,67.72074678577941,73.27852279663085,0.2679963319578175,0.45667125171939477,-0.014365171461726221,0,0,2026/07/30,23,468434,2529170.68,68.83860479354858,78.02999877929688,2026/04/30,78.81,0.011990891209624046,0,0,0
ALL,Allstate Corporation (The),254.7550048828125,5.6349263,9.659891,45.21,0.45221,0.17813,1.74,2.2200484,0.07521,82.00719874525988,221.26689971923827,0.14734079828236593,0.0,0.0014362297299554102,0,0,-,-69,915870,1773175.4,208.99258010864258,254.7550048828125,2026/06/01,257.665,0.011293715161886637,0,0,0
GOOGL,Alphabet Inc.,370.1000061035156,28.208841,25.422956,13.12,0.38884997,0.37919,0.24,9.366301,0.14641,50.448833427570825,372.00121704101565,0.18187550268595656,0.5965231508603998,-0.054668299508971396,0,0,2026/07/23,16,12249445,33538614.9,316.9933368682861,373.25,2026/06/08,408.61,0.09424633243553605,0,0,1
GOOG,Alphabet Inc.,366.7699890136719,27.997707,25.19421,13.1,0.38884997,0.37919,0.24,9.282026,0.14641,49.80374264761579,369.2313598632812,0.18187550268595656,0.5965231508603998,-0.054668299508971396,0,0,2026/07/23,16,8055318,23021464.36,316.3782073974609,371.1000061035156,2026/06/08,404.47,0.09320842333505118,0,0,1
MO,"Altria Group, Inc.",72.74500274658203,15.186849,12.379199,4.79,0.0,0.39518002,5.9,-37.848595,0.27609,62.80958148381041,70.52747787475586,0.45056854858731815,0.7220815333432643,-0.06691035782619871,0,0,2026/07/30,23,1817221,8861030.42,63.05496114730835,74.05000305175781,2026/06/15,74.56,0.024342774321592958,0,0,0
AMZN,"Amazon.com, Inc.",246.22500610351562,31.898317,24.867939,7.72,0.24285,0.12224,0.0,5.9926267,0.06845,50.17502062859437,255.01570037841796,0.010733355278941701,0.5028566486824266,-0.07560003031629182,0,0,2026/07/30,23,22087748,51649566.96,233.10612518310546,246.22500610351562,-,278.56,0.11607909928376069,0,0,0
AMCR,Amcor plc,44.79999923706055,36.129032,10.448809,1.24,0.08737001,0.030550001,5.83,1.7770021,0.04079,75.5186643176994,39.43969993591308,0.053967619428342994,0.1888200413085482,-0.023714455295958562,0,0,-,-62,708256,3897791.12,40.82556713104248,45.0,2026/05/28,50.94,0.12053397650057815,0,0,0
AEE,Ameren Corporation,114.88999938964844,20.66367,19.777353,5.56,0.117469996,0.17834999,2.66,2.3450768,0.03086,60.530481482409954,109.89292251586915,-0.09330605750653484,0.47403113990226164,-0.039132766729928214,0,0,2026/07/30,23,302768,1854363.36,105.21163162231446,118.31999969482422,2026/06/09,118.32,0.02898918703813012,0,0,0
AEP,American Electric Power Company,138.47000122070312,20.483727,20.186308,6.76,0.12585,0.16289,2.79,2.3681016,0.031689998,67.87666941428157,131.27234664916992,-0.07492228926677638,0.6100749680014628,-0.029390179975537306,0,0,2026/07/30,23,1312105,5179392.1,123.09113338470459,138.69000244140625,2026/05/08,140.58,0.015009238720279466,0,0,0
AXP,American Express Company,351.2300109863281,21.924469,17.42471,16.02,0.34419,0.16305,1.07,7.046303,0.03796,69.9387509490772,322.12880432128907,0.22155614010798838,0.0,-0.02531227920493781,0,0,2026/07/24,17,1113239,3174578.78,336.37944091796874,356.0299987792969,2026/07/02,387.49,0.09357658007605843,0,0,0
AIG,"American International Group, I",81.33999633789062,14.320422,9.169585,5.68,0.07723,0.118389994,2.48,1.072804,0.01885,72.61903426227047,75.58701522827148,0.12377679838649436,0.0,-0.0013519044488818882,0,0,2026/08/06,30,907971,4644311.42,76.69982177734374,81.33999633789062,2026/06/15,87.29,0.06816363457566023,0,0,0
AMT,American Tower Corporation (REI,164.84500122070312,26.630856,23.97864,6.19,0.29952,0.26806998,4.31,21.80778,0.04911,29.813722224234937,178.47070404052735,0.35544783270390623,0.7418315389962986,-0.04643901605307135,0,0,2026/07/28,21,1171227,3286352.54,177.40093208312987,190.67984008789062,2026/06/12,234.33,0.29652626116714415,0,0,0
AWK,"American Water Works Company, I",136.31509399414062,24.169344,20.78354,5.64,0.10217,0.21172,2.69,2.4118454,0.035099998,67.96663453536895,126.82124755859375,-0.2416342412451362,0.6071984435797665,-0.026747926189266972,0,0,2026/07/29,22,695456,2157973.12,130.34718372344972,136.86000061035156,2026/05/12,147.87,0.07814232775992005,0,0,0
AMP,"Ameriprise Financial, Inc.",507.9700012207031,12.654958,10.538123,40.14,0.66936,0.20165001,1.34,7.366048,0.024260001,72.59655797522285,463.180302734375,0.4416125541125541,0.0,-0.024933998239953067,0,0,2026/07/23,16,165496,691373.92,470.6941342163086,507.9700012207031,2026/05/04,550.18,0.0767203438498252,0,0,0
AME,"AMETEK, Inc.",231.7449951171875,35.006798,26.349361,6.62,0.14626999,0.20108,0.57,4.864505,0.0801,51.30059101194743,230.7559051513672,0.2258463453349468,0.3604103759487083,-0.020016812775917263,0,1,2026/07/30,23,520669,1290265.38,213.99843406677246,241.94000244140625,2026/06/15,244.71,0.05298109959875979,0,0,0
AMGN,Amgen Inc.,368.7900085449219,25.681757,15.714349,14.36,1.01318,0.20955999,2.75,21.657858,0.08347999,64.93783640739372,341.46117309570315,0.22040216592745776,0.6724714973742211,-0.024805157529861125,0,0,2026/08/04,28,648746,2823392.92,332.60491271972654,374.1499938964844,2026/05/15,391.29,0.05750208657281848,0,0,0
APH,Amphenol Corporation,158.6649932861328,45.46275,27.709618,3.49,0.36825,0.17239,0.6,13.954705,0.13453001,50.27561197756518,146.47007537841796,0.18957163331846702,0.3688162219037268,-0.030477220733561645,0,1,2026/07/29,22,2213872,10436435.44,138.82768058776855,176.32000732421875,2026/06/23,178.52,0.11122006897752183,0,0,0
ADI,"Analog Devices, Inc.",379.69500732421875,56.586437,25.687525,6.71,0.09639,0.26007998,1.13,5.4811397,0.054899998,36.32989838737416,408.39490234375,0.38827257385337016,0.614669518890112,-0.05302596777610734,0,0,2026/08/19,43,1770856,4926635.12,318.2058447265625,445.4800109863281,2026/06/02,445.91,0.1484940743104691,0,0,0
AON,Aon plc,360.9599914550781,19.832966,16.89171,18.2,0.46447,0.22544001,0.92,7.8403087,0.060510002,67.57179341066912,323.8719659423828,0.18729992433502124,0.47703858913916536,0.004213925645872716,0,0,2026/07/24,17,306507,1638750.14,335.41653884887694,360.9599914550781,2026/05/01,381.0,0.05259844762446687,0,0,0
APA,APA Corporation,33.11000061035156,7.717949,7.8720694,4.29,0.26217,0.18313,3.08,1.8126574,0.09611,37.61193579463026,36.70580013275146,0.19943946188340808,0.40560538116591927,-0.1751590563594392,0,0,2026/08/05,29,1805906,5982422.12,30.070313205718993,38.0,2026/07/22,45.66,0.2748576300842846,0,0,0
APO,"Apollo Global Management, Inc. ",119.46499633789062,75.135216,11.2495985,1.59,0.08492,0.03656,1.84,3.7121682,0.00708,27.461065813414265,128.39119644165038,0.22609129770039627,0.9549751942338295,-0.00814406799884586,0,0,2026/08/04,28,1448615,3968272.3,127.14167255401611,138.91000366210938,2026/05/19,157.28,0.24043110161564965,0,0,0
AAPL,Apple Inc.,313.8800048828125,38.046062,32.665314,8.25,1.4147099,0.27152002,0.35,43.234158,0.26229,61.82285503860366,295.0654608154297,0.23732882225869315,0.4690516410716045,0.0014697654220982572,0,0,2026/07/30,23,21323179,56487633.58,271.0749536895752,313.8800048828125,2026/05/11,317.4,0.011090091736570502,0,0,0
AMAT,"Applied Materials, Inc.",549.22998046875,51.765316,33.457787,10.61,0.39692003,0.29314,0.36,18.23836,0.14858,46.59689315250594,496.6824676513672,0.20086012408347434,0.4867456288776086,-0.026447009559492,0,0,2026/08/13,37,6839241,9837242.82,342.712696685791,723.0,2026/08/20,739.67,0.2574661937502534,0,0,0
APP,Applovin Corporation,536.7448120117188,46.795536,24.764456,11.47,2.66444,0.6429,0.0,76.372345,0.44236,53.11546457060896,503.49289672851563,0.7193905468937732,0.8786399662671873,-0.08779121743454538,0,0,2026/08/05,29,2708072,5112217.44,539.2645500183105,564.6099853515625,-,745.61,0.2801265916340731,0,1,0
APTV,Aptiv PLC,58.939998626708984,35.083332,8.704423,1.68,0.040799998,0.01767,0.0,1.3555658,0.05698,29.107733139955883,61.428999786376956,0.07495832924796549,0.19109716638886165,-0.08627685473882031,0,0,2026/07/30,23,759805,3650280.1,73.19419990539551,69.29000091552734,2020/02/04,88.93,0.33723154585956394,0,0,0
ACGL,Arch Capital Group Ltd.,103.51000213623047,7.962308,10.493055,13.0,0.21305999,0.24635,0.0,1.5576187,0.045679998,81.99255270156624,93.95759994506835,0.31761169275422413,0.0,-0.022374780732196717,0,0,2026/07/28,21,471643,2410866.86,93.77384990692138,103.51000213623047,2024/11/18,105.0895,0.015030025490363284,0,0,0
ADM,Archer-Daniels-Midland Company,77.27999877929688,34.5,14.384392,2.24,0.047659997,0.013409999,2.67,1.6334467,0.01669,40.96277258102852,77.93143814086915,0.052373892785508726,0.06270166564925438,0.0,0,0,2026/08/04,28,1678901,3840422.02,66.88600151062012,81.27999877929688,2026/05/20,85.37,0.09476398290620978,0,0,0
ARES,Ares Management Corporation,120.94499969482422,55.73502,16.530739,2.17,0.14182,0.10539,4.43,10.62879,0.02536,35.62548213609689,121.9300617980957,0.5703456692353917,0.5419738919093197,-0.09567847220492985,0,0,2026/07/31,24,663381,2710929.62,134.7871937561035,134.97999572753906,2026/06/16,195.26,0.3805951055268656,0,0,0
ANET,"Arista Networks, Inc.",168.6999969482422,57.972507,37.873177,2.91,0.31520998,0.38317,0.0,15.750162,0.14359,49.75067158397439,159.63039916992187,0.47218983532651543,0.6405609780472368,-0.044244829962053825,0,0,2026/08/04,28,3466136,10114642.72,143.40424953460695,174.55999755859375,-,179.8,0.06173527837462638,0,0,0
AJG,Arthur J. Gallagher & Co.,253.53439331054688,41.091473,17.04481,6.17,0.07007,0.11354,1.12,2.73955,0.0228,80.01729128840458,212.35591857910157,0.12803041170563764,0.4257638789269832,-0.006169956838604684,0,0,2026/07/30,23,615194,1897509.88,238.23356239318846,253.53439331054688,2026/06/05,316.89,0.19992933412052483,0,0,0
AIZ,"Assurant, Inc.",282.42498779296875,14.4684925,12.569657,19.52,0.18016,0.076,1.26,2.39009,0.024360001,81.0631146952251,252.34225463867188,0.12473564689448506,0.0,-0.02648692738415414,0,0,2026/08/04,28,70469,446025.38,230.3115525817871,282.42498779296875,2026/06/08,284.12,0.005965832067546299,0,0,0
T,AT&T Inc.,20.934999465942383,7.0488214,8.206521,2.97,0.18370001,0.16938,5.39,1.3296285,0.041160002,28.84094485274335,23.869899940490722,0.15473385967146314,0.5955367375525277,-0.043624672178354015,0,0,2026/07/22,15,31076608,51788818.16,25.31225443840027,23.579999923706055,2026/07/10,29.79,0.2972474163832701,0,0,0
ATO,Atmos Energy Corporation,178.2899932861328,21.956896,19.829851,8.12,0.096,0.27579,2.3,1.9961485,0.03876,70.10643037753022,175.67957092285155,-0.32150154537074543,0.5813101043962529,-0.030113854669824146,0,0,2026/08/05,29,207842,1472162.84,174.1515015411377,178.2899932861328,2026/05/26,192.51,0.07386632753554194,0,0,0
ADSK,"Autodesk, Inc.",214.0800018310547,31.252556,15.008013,6.85,0.50396,0.19488001,0.0,14.1643505,0.113249995,64.40267412096578,224.1088003540039,0.32972522897585343,0.9097973910630031,-0.10652121601026711,0,0,2026/08/27,51,946472,2690395.44,262.92925003051755,225.0399932861328,2005/03/22,329.09,0.34947886039972437,0,0,0
ADP,"Automatic Data Processing, Inc.",246.77999877929688,22.99907,20.24169,10.73,0.71208,0.20118,2.84,15.568734,0.05949,70.7467401066449,219.36705841064452,0.2136433716422919,0.46027168071436564,-0.016114133031536856,0,0,2026/07/29,22,525521,2940628.42,235.8828673553467,246.77999877929688,2026/06/12,315.98,0.2190012064709891,0,0,0
AZO,"AutoZone, Inc.",3031.52001953125,20.832325,17.265339,145.52,0.0,0.12399,0.0,-17.820835,0.11389,45.75693842952658,3245.353203125,0.0945196023574353,0.5262486365892685,-0.031985514683195174,0,0,-,-42,148247,414240.94,3583.0908972167967,3218.14990234375,-,4388.11,0.30915131582133304,0,0,0
AVB,"AvalonBay Communities, Inc.",196.69000244140625,24.372988,40.373337,8.07,0.09719,0.37268,3.66,2.3778954,0.02646,71.12265253159221,183.69208099365235,0.4624433317712059,0.6313662037836372,-0.027928991245863344,0,0,-,-71,176912,1162908.24,176.37071922302246,196.69000244140625,2026/06/30,205.0,0.04053657345655488,0,0,0
AVY,Avery Dennison Corporation,165.6750030517578,18.657095,14.84289,8.88,0.30857,0.0766,2.41,5.521028,0.082650006,62.124667823163435,160.5868997192383,0.07690136073626559,0.28753881768392525,-0.021973027937784745,0,0,2026/07/30,23,143713,715346.26,171.6860572052002,166.97000122070312,2026/06/03,199.54,0.16971533000021138,0,0,1
AXON,"Axon Enterprise, Inc.",646.4099731445312,259.6024,61.135715,2.49,0.06765,0.06905,0.0,14.737021,0.00084,84.51790894097635,442.98120056152345,0.02701206244495484,0.5965474093517767,-0.012382732029267833,0,0,2026/08/03,27,797044,1207058.88,532.3144010925294,646.4099731445312,-,885.92,0.27035175507435066,0,0,0
BKR,Baker Hughes Company,54.1255989074707,17.292522,19.481903,3.13,0.17184,0.11171,1.73,2.7793775,0.05011,19.41638957083812,62.98320991516113,0.09147946489741464,0.23596437457180977,-0.02989163670164624,0,0,2026/07/26,19,3226055,8465435.1,55.40529926300049,64.83999633789062,2026/05/05,70.41,0.2312796632939823,0,0,0
BALL,Ball Corporation,63.09000015258789,18.393585,13.957007,3.43,0.16785999,0.06863,1.27,2.9987168,0.04701,82.3927977111808,57.97500015258789,0.059873869766735054,0.19588177190183118,-0.01792665437410367,0,0,2026/08/04,28,449376,3106799.52,55.8498876953125,63.38999938964844,2026/06/01,68.29,0.0761458463524984,0,0,1
BAC,Bank of America Corporation,60.040000915527344,14.898262,11.739816,4.03,0.10644,0.28956,1.87,1.5528656,0.00927,75.33415683829715,53.7812410736084,0.11152373626179297,0.0,0.00524542036932496,0,0,2026/07/14,7,13914335,35683420.7,52.178578243255615,60.040000915527344,2026/06/05,60.825,0.012905862465641743,0,0,0
BAX,Baxter International Inc.,23.15999984741211,0.0,11.522273,-1.91,-0.15010999,-0.096999995,0.89,1.9793179,0.02849,66.2517282870298,19.263522491455078,0.02872643187477766,0.3005158306652437,-0.08985290451259037,0,0,2026/07/30,23,2845652,7347487.04,19.535454287528992,23.15999984741211,2026/05/29,31.15,0.25650080746670595,0,0,0
BDX,"Becton, Dickinson and Company",156.97999572753906,27.444056,11.720628,5.72,0.06672,0.05124,2.7,1.7923365,0.04383,64.2964013154238,147.40894073486328,0.1222985347985348,0.45444139194139194,-0.03168549480343425,0,0,2026/08/06,30,507272,2983679.44,152.45879371643068,158.0800018310547,2026/06/09,187.35,0.16210303855063216,0,0,1
BRK-B,Berkshire Hathaway Inc. New,505.1199951171875,15.037808,23.522783,33.59,0.10499,0.19305,0.0,0.0009991308,0.053940002,59.756095291675216,484.2503997802734,0.061000384875841,0.0,0.01718164977875527,0,0,2026/08/01,25,1696532,5163400.64,490.3892498779297,507.7799987792969,-,516.85,0.022695182127914333,0,0,0
BBY,"Best Buy Co., Inc.",78.38500213623047,14.515741,11.084322,5.4,0.39104,0.027309999,4.92,5.3570943,0.07771,55.73670194413592,67.472533493042,0.03017437816315272,0.22482070470845025,-0.06087252897068848,0,0,2026/08/27,51,1669928,4221284.56,68.08279909133911,78.38500213623047,2026/06/18,84.99,0.07771500016201349,0,1,0
TECH,Bio-Techne Corp,70.70999908447266,101.01429,34.572285,0.7,0.053400002,0.09049,0.45,5.307363,0.07452,81.60871861248421,54.539833602905276,0.2103498177733502,0.6479577906504815,-0.0837244142387332,0,0,2026/08/05,29,2281832,5072534.64,58.12691162109375,71.0,2026/05/18,72.16,0.020094247720722568,0,0,0
BIIB,Biogen Inc.,208.74000549316406,22.445162,12.552845,9.3,0.077010006,0.13805,0.0,1.6518553,0.059520002,59.269465606094556,196.55220092773436,0.1990981335813803,0.7569207125957981,-0.03096859661339357,0,0,2026/07/29,22,349086,1148219.72,178.27285041809083,216.6300048828125,-,219.72,0.04997266751700317,0,0,0
BLK,"BlackRock, Inc.",1006.7999877929688,25.334675,16.51022,39.74,0.118990004,0.24396999,2.27,2.7593389,0.03615,40.53132299130025,1033.7677185058594,0.1466798810703667,0.4670465807730426,0.009564818409628348,1,0,2026/07/15,8,181949,706980.98,1052.5844091796876,1057.3800048828125,2026/06/05,1219.94,0.17471352050677189,0,0,1
BX,Blackstone Inc.,121.52999877929688,31.161537,16.134407,3.9,0.29533002,0.21213,4.03,11.403772,0.13028,45.07624421706535,119.66818710327148,0.3664346174685407,0.0,-0.03445781427917913,0,0,2026/07/23,16,1599703,5244410.06,134.01318634033203,127.87000274658203,2026/05/04,190.09,0.3606712674033517,0,0,0
XYZ,"Block, Inc.",78.30000305175781,61.17188,15.694905,1.28,0.03743,0.03297,0.0,2.1231594,0.02053,59.436233635338006,72.3529995727539,0.10021938371268235,0.428208016117265,-0.03221445360893193,0,0,2026/08/05,29,1754954,5949799.08,67.37664989471436,78.91999816894531,-,82.5,0.05090905391808712,0,0,1
BNY,The Bank of New York Mellon Cor,152.02000427246094,18.884472,15.461443,8.05,0.13472,0.28722,1.41,2.644838,0.01196,68.59376499429881,139.79140045166017,0.2620071865985121,0.0,-0.0025005293245818337,0,0,-,999,1451880,3779657.6,121.3085542678833,152.02000427246094,2026/04/27,152.55,0.0034742427239532864,0,0,0
BA,Boeing Company (The),233.5449981689453,92.31028,55.851833,2.53,1.69947,0.024600001,0.0,30.766039,-0.02069,55.44625436857103,223.83590057373047,-0.02108134088952975,0.04794160714485318,0.006954557612862959,0,0,2026/07/28,21,2272608,6442156.16,218.51337547302245,234.5399932861328,2020/02/13,254.35,0.0817967439789844,0,0,1
BKNG,Booking Holdings Inc. Common St,181.19110107421875,23.872345,14.732374,7.59,0.0,0.22227,0.89,-16.199472,0.22259001,57.036467175019034,168.368251953125,0.33759334249730655,0.0,-0.13685757244395844,0,0,2026/08/04,28,1769827,8180260.54,187.58103729248046,184.55999755859375,2026/06/05,233.5764,0.22427479371109948,0,0,0
BSX,Boston Scientific Corporation,45.404998779296875,18.997906,12.222533,2.39,0.14661,0.17294,0.0,2.6091828,0.060749996,44.10099773442973,50.79209976196289,0.16957258144864004,0.6900966424230348,-0.03746021569390699,0,0,2026/07/29,22,6063192,21096907.84,77.89552501678467,48.959999084472656,-,109.5,0.5853424769013984,0,0,0
BMY,Bristol-Myers Squibb Company,58.275001525878906,16.32353,9.415048,3.57,0.38731998,0.15006,4.44,5.929487,0.10689,58.762784615879035,56.294710311889645,0.2665214233841685,0.7108413735864716,-0.07887780714809303,0,0,2026/07/30,23,4914470,12054469.4,52.94590322494507,58.275001525878906,2026/07/02,62.89,0.07338207146002694,0,0,0
AVGO,Broadcom Inc.,370.57501220703125,61.557312,19.10596,6.02,0.37280998,0.38848,0.7,20.107162,0.121190004,42.32259234305236,406.95312561035155,0.4212750637844945,0.6776652527118193,-0.025781450915297034,0,0,2026/09/03,58,10825777,27123181.54,360.4159045410156,410.70001220703125,2026/06/22,495.0,0.25136361170296717,0,0,1
BR,"Broadridge Financial Solutions,",149.00999450683594,15.936897,14.307043,9.35,0.42314,0.15028,2.69,6.1162415,0.091709994,59.10551666891914,147.10903289794922,0.15334368785472705,0.31017113991668,-0.038829724985371565,0,0,-,-68,281131,1594720.62,189.15683570861816,149.03013610839844,2026/06/12,271.91,0.4519878102797399,0,0,1
BRO,"Brown & Brown, Inc.",69.29499816894531,22.571661,14.234916,3.07,0.11926,0.18360001,0.94,1.843982,0.05515,76.84268062410972,59.63687110900879,0.23980565677598473,0.4907166406385563,-0.013203961188356508,0,0,2026/07/27,20,816557,3331443.14,72.84290815353394,70.0,2026/05/11,108.36,0.3605112756649565,0,0,0
BF-B,Brown Forman Inc,26.200000762939453,17.124184,15.301683,1.53,0.17846,0.18202999,3.57,2.9895027,0.08636,45.05347590173888,26.248647117614745,0.22734215885947046,0.6053971486761711,-0.0361033696478338,0,0,2026/08/27,51,760841,3442250.82,26.8676086807251,27.959999084472656,2026/06/10,31.92,0.17919797108585678,0,1,0
BLDR,"Builders FirstSource, Inc.",78.44999694824219,29.942749,13.342245,2.62,0.06958,0.01967,0.0,2.1064925,0.033970002,50.84925625537581,78.24700057983398,0.056171702597349764,0.30385669120678144,-0.06947140519313408,0,1,2026/07/30,23,1211701,2739618.02,100.39690017700195,90.51000213623047,-,151.03,0.4805667950192532,0,0,0
BG,Bunge Limited,109.55000305175781,28.828949,9.835707,3.8,0.04933,0.00848,2.65,1.3246676,0.02379,25.887432979538232,120.81246612548829,-0.012498400375378577,0.04847218075047278,-0.0006288178224937119,0,0,2026/07/29,22,603632,1739028.64,107.7971700668335,128.2100067138672,2026/08/18,134.87,0.18773631606911984,0,0,0
BXP,"BXP, Inc.",69.8499984741211,35.100502,34.08215,1.99,0.05525,0.10042,4.0,2.1512825,0.01675,67.70373276239587,61.65888549804688,0.357569568664659,0.6063876559000586,-0.03700798481581022,0,0,2026/07/28,21,299576,1548339.52,62.9152046585083,69.97000122070312,2026/06/30,79.33,0.11950083859673395,0,0,0
